"learner","n_iter","n_success","failure_rate","mean_raw_mse","sd_raw_mse","ci_lo_raw_mse","ci_hi_raw_mse","median_raw_mse","mean_raw_rmse","sd_raw_rmse","ci_lo_raw_rmse","ci_hi_raw_rmse","median_raw_rmse","mean_norm_mse","sd_norm_mse","ci_lo_norm_mse","ci_hi_norm_mse","median_norm_mse","mean_norm_rmse","sd_norm_rmse","ci_lo_norm_rmse","ci_hi_norm_rmse","median_norm_rmse","mean_rank_corr","sd_rank_corr","ci_lo_rank_corr","ci_hi_rank_corr","mean_rec_sg1","ci_lo_rec_sg1","ci_hi_rec_sg1","median_rec_sg1","mean_rec_sg2","ci_lo_rec_sg2","ci_hi_rec_sg2","median_rec_sg2","mean_rec_sg3","ci_lo_rec_sg3","ci_hi_rec_sg3","median_rec_sg3","mean_dev_sg3","ci_lo_dev_sg3","ci_hi_dev_sg3","mean_topk_overlap","ci_lo_topk_overlap","ci_hi_topk_overlap","mean_topk_lift","ci_lo_topk_lift","ci_hi_topk_lift","subgroup_order_acc","ci_lo_order_acc","ci_hi_order_acc","sg3_inflation_rate","ci_lo_sg3_infl","ci_hi_sg3_infl","median_sg3_inflated","mean_pred_ate","ci_lo_pred_ate","ci_hi_pred_ate","median_pred_ate","mean_true_ate_test","ci_lo_true_ate_test","ci_hi_true_ate_test","median_true_ate_test"
"xlasso",44,44,0,6.08137493181818,5.56592739991482,4.38917833461525,7.77357152902112,4.1367245,2.23851020454545,1.04658541118891,1.92031915672057,2.55670125237034,2.032692,1.18993381818182,1.09808414213433,0.856085725087635,1.523781911276,0.753405,0.989955931818182,0.463468408481016,0.849048656643404,1.13086320699296,0.866697,0.772244704545455,0.212900586897023,0.707517009984587,0.836972399106322,0.518002272727273,-0.876056816936744,1.91206136239129,0.5947,0.978472727272727,0.908027972473599,1.04891748207186,0.9922,0.993172727272727,0.916286742784465,1.07005871176099,0.97085,0.983188636363636,0.780868309317444,1.18550896340983,0.556818181818182,0.483760912245375,0.629875451390988,2.08069090909091,1.99574285488069,2.16563896330112,0.863636363636364,0.762234840123653,0.965037887149074,0.318181818181818,0.180555433399941,0.455808202963695,0,3.55591363636364,3.13971197763742,3.97211529508986,3.68215,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"skern",44,44,0,6.17366729545455,5.38350146231987,4.53693325258612,7.81040133832297,4.3687735,2.30077938636364,0.948972283269992,2.01226544192844,2.58929333079884,2.089896,1.20698834090909,1.04336391805515,0.889776716516673,1.52419996530151,0.8446375,1.01827554545455,0.4172037903482,0.891433999806969,1.14511709110212,0.9189005,0.725218363636364,0.179839886012348,0.670542040844924,0.779894686427803,1.01958863636364,-0.0241994270517025,2.06337669977898,0.6137,0.919981818181818,0.85212785677286,0.987835779590776,0.89015,0.958179545454545,0.891979200824704,1.02437989008439,0.93335,0.903913636363636,0.735703149514451,1.07212412321282,0.440340909090909,0.364560270960337,0.516121547221482,1.95648409090909,1.84982032346629,2.06314785835189,0.863636363636364,0.762234840123653,0.965037887149074,0.272727272727273,0.141131278734822,0.404323266719723,0,3.63276590909091,3.22413610951522,4.0413957086666,3.6622,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"xkern",44,41,0.068,6.77631129268293,4.56963461882612,5.33395663449753,8.21866595086832,5.917146,2.44519975609756,0.904014383453156,2.15985760824435,2.73054190395078,2.432518,1.32883895121951,0.901092756101583,1.04441898274639,1.61325891969264,0.973239,1.08165882926829,0.403515205231594,0.954293714885486,1.2090239436511,0.986529,0.607517243902439,0.277066692228765,0.520064204983796,0.694970282821082,3.1942,1.65219030744331,4.73620969255669,3.291,0.928624390243902,0.861334368986627,0.995914411501178,0.9333,1.03091707317073,0.957149491750368,1.1046846545911,1.0336,0.913134146341463,0.719124528167119,1.10714376451581,0.524390243902439,0.451521731168898,0.59725875663598,2.0354243902439,1.92836941484083,2.14247936564698,0.682926829268293,0.540487152951872,0.825366505584713,0.365853658536585,0.218414586171833,0.513292730901337,0,3.74290975609756,3.30437962262549,4.18143988956963,3.7196,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"rlasso",44,44,0,6.80954206818182,4.79975181344194,5.35028413997934,8.26879999638429,5.6396995,2.45118504545455,0.905465339648303,2.17589842086409,2.726471670045,2.3747585,1.34234040909091,0.970533193538943,1.04727134879303,1.63740946938879,1.1082025,1.08627886363636,0.40757092344909,0.962365977207058,1.21019175006567,1.052661,0.757862166666667,0.154569759838721,0.70556328418061,0.810161049152723,2.673475,1.25565041161964,4.09129958838036,3.1656,0.871379545454545,0.802254045756509,0.940505045152582,0.80995,0.961222727272727,0.885345875473972,1.03709957907148,0.9336,0.964668181818182,0.744925646321307,1.18441071731506,0.414772727272727,0.339756470351233,0.489788984194221,1.85730909090909,1.72798666065389,1.98663152116429,0.772727272727273,0.648899940872791,0.896554604581754,0.25,0.122052922872562,0.377947077127438,0,3.87715227272727,3.43766865630561,4.31663588914894,3.8368,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"ols_inter",44,44,0,7.76369054545455,5.62350265235235,6.05398947159254,9.47339161931655,6.0866865,2.62326356818182,0.950102242030883,2.33440608488368,2.91212105147996,2.46712,1.51715393181818,1.1016115616979,1.1822334051557,1.85207445848066,1.201214,1.15998952272727,0.419009001048487,1.03259914286308,1.28737990259146,1.0959965,0.782865045454545,0.138905418633228,0.740633938245387,0.825096152663704,-1.80966363636364,-2.96529974700577,-0.654027525721499,-2.2398,1.05558636363636,0.985929363214601,1.12524336405813,1.0747,0.948929545454545,0.866616331551885,1.03124275935721,0.949,1.08366818181818,0.861832620068907,1.30550374356746,0.511363636363636,0.437682112184552,0.585045160542721,2.04192272727273,1.95283835356407,2.13100710098138,0.863636363636364,0.762234840123653,0.965037887149074,0.272727272727273,0.141131278734822,0.404323266719723,0,3.10410454545455,2.6687880914414,3.53942099946769,2.885,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"slasso",44,44,0,7.61923895454545,8.58607518144422,5.00883350700209,10.2296444020888,5.219906,2.52944443181818,1.11783217533516,2.18959238786679,2.86929647576957,2.283894,1.52447270454545,1.90101913997203,0.946510059914562,2.10243534917635,0.9921555,1.12305463636364,0.51898218692629,0.96526962990828,1.28083964281899,0.9960695,0.677248268292683,0.34755138911951,0.567547513884422,0.786949022700943,2.51410681818182,0.946314251083829,4.08189938527981,2.4661,0.958547727272727,0.883073801714272,1.03402165283118,0.93925,0.952538636363636,0.883049184173767,1.02202808855351,0.9458,0.903681818181818,0.713539441536159,1.09382419482748,0.443181818181818,0.355115552503612,0.531248083860024,1.85464772727273,1.6979220846261,2.01137336991936,0.727272727272727,0.595676733280277,0.858868721265178,0.227272727272727,0.103445395418246,0.351100059127209,0,4.08426818181818,3.59670314295979,4.57183322067657,3.95,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"tlasso",44,44,0,8.78835334090909,8.71317110216662,6.13930720168727,11.4373994801309,6.147757,2.74842281818182,1.12393751688377,2.40671458074262,3.09013105562102,2.479282,1.69368004545455,1.50916745666563,1.23485120143871,2.15250888947038,1.1960025,1.21371359090909,0.475088476940205,1.06927349202084,1.35815368979735,1.093618,0.718080795454545,0.187057497738564,0.661210118133217,0.774951472775874,0.0827022727272727,-1.33471565557545,1.50012020103,-0.4639,1.03972954545455,0.970710570081603,1.10874852082749,1.022,0.940020454545455,0.855722820430472,1.02431808866044,0.9238,1.14393409090909,0.912031424183116,1.37583675763507,0.454545454545455,0.377620081828844,0.531470827262066,1.96237045454545,1.86017905930649,2.06456184978442,0.818181818181818,0.704216344348092,0.932147292015544,0.25,0.122052922872562,0.377947077127438,0,3.60529772727273,3.0876849631922,4.12291049135326,3.44485,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"rkern",44,44,0,8.98585188636364,20.2134523480569,2.84040067519098,15.1313030975363,3.713204,2.40915995454545,1.80438237284482,1.86057757249216,2.95774233659875,1.9268735,1.71792679545455,3.73317848532138,0.582936797254295,2.8529167936548,0.657592,1.06200677272727,0.777039862137876,0.82576506202496,1.29824848342959,0.810919,0.761632068181818,0.216480323945511,0.695816034083423,0.827448102280213,0.619027272727273,-1.06734770414679,2.30540224960134,1.14575,0.8628,0.80468909998266,0.92091090001734,0.87455,0.939309090909091,0.862957640122935,1.01566054169525,0.9793,1.02222045454545,0.805141206010534,1.23929970308037,0.511363636363636,0.436327030531712,0.586400242195561,2.01496590909091,1.89841872434201,2.13151309383981,0.863636363636364,0.762234840123653,0.965037887149074,0.25,0.122052922872562,0.377947077127438,0,3.18117045454545,2.65527531792339,3.70706559116752,3.46755,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"rboost",44,44,0,9.99169247727273,9.35439529414265,7.14769636516361,12.8356885893818,7.1376115,2.96704206818182,1.10271949887372,2.63178469783021,3.30229943853343,2.671614,1.9653615,1.91288515063077,1.38379125839265,2.54693174160735,1.399533,1.31308904545455,0.49675617743114,1.16206136350861,1.46411672740048,1.182719,0.40551755,0.454462135432121,0.192822723445407,0.618212376554593,8.12040909090909,7.09489092002809,9.14592726179009,7.6035,0.746788636363636,0.686200375523669,0.807376897203604,0.75515,1.05148181818182,0.950639748169375,1.15232388819426,1.0121,1.14235,0.835047591042172,1.44965240895783,0.173295454545455,0.105601965529412,0.240988943561497,1.32660909090909,1.1707376837263,1.48248049809188,0.318181818181818,0.180555433399941,0.455808202963695,0.340909090909091,0.200846651789993,0.480971530028189,0,5.00742045454545,4.54582600624389,5.46901490284702,4.81985,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"xboost",44,44,0,11.2832477727273,7.98040400910829,8.85698319214284,13.7095123533117,10.7348495,3.16984856818182,1.12429365685575,2.82803205429462,3.51166508206902,3.2745435,2.21785029545455,1.59554610862626,1.73275994092727,2.70294064998182,1.9122805,1.40382170454545,0.502873903237418,1.25093406395324,1.55670934513767,1.38237,0.0863249772727273,0.595550012556362,-0.0947387758634465,0.267388730408901,7.60633636363636,6.26361804065073,8.949054686622,8.5487,0.857509090909091,0.76185854193462,0.953159639883562,0.7955,1.13371136363636,1.02097602803864,1.24644669923409,1.0333,1.23394090909091,0.78125643953209,1.68662537864973,0.215909090909091,0.144757439250991,0.287060742567191,1.33201136363636,1.12710510334432,1.53691762392841,0.5,0.352259441156896,0.647740558843104,0.454545454545455,0.307416660478568,0.601674248612341,0,5.19721363636364,4.77587529308977,5.6185519796375,5.321,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"tkern",44,41,0.068,11.6824799512195,17.8193851356016,6.0579879950252,17.3069719074138,6.008548,2.93880829268293,1.76692750546247,2.38109715584933,3.49651942951653,2.451234,2.3430763902439,3.76149431282832,1.15580228708169,3.53035049340612,1.081799,1.30478919512195,0.810318829561773,1.04902101321554,1.56055737702836,1.040096,0.601190073170732,0.304287068568267,0.505145223333752,0.697234923007711,2.91716585365854,0.606079301812668,5.2282524055044,1.7536,0.938231707317073,0.867448884785475,1.00901452984867,0.9325,0.982565853658537,0.905688958005966,1.05944274931111,0.9425,0.981117073170732,0.764746113803722,1.19748803253774,0.402439024390244,0.326283874079253,0.478594174701235,1.79306829268293,1.62443823641395,1.9616983489519,0.75609756097561,0.624647396698261,0.887547725252958,0.317073170731707,0.174633494415287,0.459512847048128,0,3.77961951219512,3.20596533889574,4.3532736854945,3.6042,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"zero_pred",44,44,0,15.4667339772727,1.37432954013695,15.0488996067973,15.8845683477481,15.310148,3.92903215909091,0.173564741024306,3.87626365475141,3.98180066343041,3.912816,3.03041581818182,0.245249060001543,2.95585328888828,3.10497834747535,2.9755585,1.73941720454545,0.0703989284199562,1.71801397403964,1.76082043505127,1.7249805,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,4.95636136363636,4.72739419693935,5.18532853033338,0.0539772727272727,0.0302261061081369,0.0777284393464085,1.02976136363636,0.957625002160883,1.10189772511184,0,0,0,0,0,0,0,0,0,0,0,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"sboost",44,44,0,27.7393085681818,14.2084463579623,23.4195460468719,32.0590710894918,24.460586,5.10076215909091,1.32724136797521,4.69724390145266,5.50428041672916,4.9456495,5.50425668181818,3.08253709397636,4.5670797468013,6.44143361683506,4.7396045,2.26398829545455,0.622429744245983,2.07475235694283,2.45322423396626,2.17698,-0.372054659090909,0.355139227949353,-0.480026853100908,-0.26408246508091,12.5969022727273,10.8382726925515,14.355531852903,12.06345,0.515209090909091,0.431533545757322,0.59888463606086,0.5075,0.745261363636364,0.637716881023364,0.852805846249363,0.65925,1.91210909090909,1.57654891473915,2.24766926707903,0.0170454545454545,0.00151420962258154,0.0325766994683275,0.595856818181818,0.474890752947688,0.716822883415949,0.0681818181818182,0,0.142660093696672,0.181818181818182,0.0678527079844555,0.295783655651908,0,5.64659772727273,5.22295926586002,6.07023618868544,5.4679,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"tboost",44,44,0,128.532053159091,100.110915435329,98.0955529551668,158.968553363015,105.9872625,10.5614898181818,4.16917646236162,9.29394431932122,11.8290353170424,10.284075,25.1140636363636,19.1913086248419,19.279372520679,30.9487547520483,19.602211,4.6733375,1.83033301581258,4.1168654013604,5.2298095986396,4.420496,-0.495157909090909,0.370315338212619,-0.60774406233916,-0.382571755842658,28.04985,23.4517467937977,32.6479532062023,27.60845,0.570025,0.396784042951875,0.743265957048125,0.70605,0.989727272727273,0.828248007108952,1.15120653834559,0.9126,2.16153181818182,1.70741219216363,2.6156514442,0.0284090909090909,0.00542561158875718,0.0513925702294246,0.508002272727273,0.378502801384964,0.637501744069582,0.0454545454545455,0,0.107002935828509,0.454545454545455,0.307416660478568,0.601674248612341,0,9.80840909090909,8.63398923536706,10.9828289464511,10.33605,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
"const_pred",44,44,0,159.267137181818,72.539862444443,137.213003239659,181.321271123977,139.4463335,12.3301066590909,2.72100678645679,11.5028449838706,13.1573683343112,11.8086845,31.7994936363636,16.2705688952527,26.8527885608494,36.7461987118779,26.2193575,5.48277909090909,1.33381405349933,5.07726255422779,5.88829562759039,5.119829,NA,NA,NA,NA,26.1311522727273,24.4118198102022,27.8504847352524,24.4872,2.07821363636364,1.96090615570893,2.19552111701835,1.9906,3.17550909090909,2.92753762128452,3.42348056053366,2.91655,10.3744181818182,9.5056521800709,11.2431841835655,0.0539772727272727,0.0302261061081369,0.0777284393464085,1.02976136363636,0.957625002160883,1.10189772511184,0,0,0,1,1,1,1,15.3307772727273,14.4898054805271,16.1717490649274,14.81845,3.21906818181818,3.16697317734207,3.27116318629429,3.19415
